,price,area,br,ba,posdt,dogs,cats,wd,house,apartment,laundry,garage,carport,furnished,latitude,longitude,zipc,num_img
172,2098.0,1150.0,3.0,2.0,2018-07-11T17:27:44-0700,1,1,1,0,1,0,0,0,0,47.1723,-122.295273,,11.0
173,2826.0,937.0,2.0,2.0,2018-07-11T17:27:43-0700,1,1,1,0,1,0,1,0,0,47.678045,-122.202108,98033,24.0
174,2053.0,865.0,1.0,1.0,2018-07-07T09:23:56-0700,1,1,1,0,1,0,1,0,0,47.7188,-122.1966,98033,12.0
175,1675.0,462.0,0.0,1.0,2018-07-11T17:27:38-0700,1,1,1,0,1,0,1,0,0,47.634019,-122.325285,98102,14.0
176,1895.0,748.0,1.0,1.0,2018-07-11T17:27:32-0700,1,1,1,0,1,0,1,0,0,47.645062,-122.206879,98033,16.0
177,1725.0,585.0,1.0,1.0,2018-07-11T16:36:31-0700,1,1,0,0,1,1,0,0,0,47.67012,-122.378943,98107,8.0
178,2.0,2.0,2.0,2.0,2018-07-11T17:27:30-0700,1,1,1,0,1,0,1,0,0,47.595776,-122.317136,98122,6.0
179,1360.0,820.0,2.0,1.0,2018-07-11T17:27:26-0700,0,0,0,0,0,0,0,0,0,47.88768,-122.238948,98168,4.0
180,3151.0,1031.0,2.0,2.0,2018-07-11T17:27:24-0700,1,1,1,0,1,0,1,0,0,47.678001,-122.202322,98033,24.0
181,2188.0,1212.0,3.0,2.0,2018-07-11T17:27:16-0700,0,0,1,0,1,0,0,0,0,47.443498,-122.145994,98058,15.0
182,2150.0,600.0,1.0,1.0,2018-07-11T17:27:13-0700,1,1,1,0,1,0,1,0,0,47.623288,-122.201734,98004,11.0
183,2495.0,766.0,1.0,1.0,2018-07-11T17:27:02-0700,1,1,1,0,1,0,1,0,0,47.677567,-122.202823,98033,19.0
184,782.0,546.0,1.0,1.0,2018-07-11T17:26:56-0700,1,1,1,0,1,0,0,0,0,47.220449,-122.4792,,9.0
185,1765.0,890.0,2.0,2.0,2018-07-11T17:26:38-0700,0,1,1,0,1,0,1,0,0,47.7377,-122.3431,98133,18.0
186,2420.0,700.0,1.0,1.0,2018-07-11T17:14:30-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
187,1920.0,694.0,1.0,1.0,2018-07-11T17:26:29-0700,1,1,1,0,1,0,1,0,0,47.645062,-122.206879,98033,17.0
